sentence,sentiment,impact,sentiments,impacts,batch,film_title,sentences_nopunc,duplicated
"The graphics are quite impressing, but the speaker sounds like dragon software for disabled people that cannot speak. ",Positive,Engagement with Film,['Positive' 'Positive' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Seeing the Beginning of Time,the graphics are quite impressing but the speaker sounds like dragon software for disabled people that cannot speak,FALSE
Excellent documentary!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,excellent documentary,FALSE
not bad,Positive,Engagement with Film,['Neutral' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Not applicable'],5,Space Junk,not bad,FALSE
"Gorgeous voice narrating wondrous images and concepts about what we currently know of deep space, dark energy, and the cosmic microwave background. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Seeing the Beginning of Time,gorgeous voice narrating wondrous images and concepts about what we currently know of deep space dark energy and the cosmic microwave background,FALSE
Great watch,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,great watch,FALSE
Good flick!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Not applicable'],5,SuperTornado: Anatomy of a Megadisaster,good flick,FALSE
I wish there were more seasons.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,i wish there were more seasons,FALSE
Really interesting,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Not applicable'],5,SuperTornado: Anatomy of a Megadisaster,really interesting,FALSE
Great technical explanation,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,great technical explanation,FALSE
"Either way, I loved it! ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Seeing the Beginning of Time,either way i loved it,FALSE
"I can see how some reviewers could find the narrators' voice offputting, but it didn't really bother me. ",Positive,Engagement with Film,['Positive' 'Positive' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Seeing the Beginning of Time,i can see how some reviewers could find the narrators voice offputting but it didnt really bother me,FALSE
Very informative if you're interested in the scientific side of storm chasing.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,very informative if youre interested in the scientific side of storm chasing,FALSE
I enjoyed the computer animations as to how a super tornado is formed.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,i enjoyed the computer animations as to how a super tornado is formed,FALSE
watching this documentary video of about 30 minutes.........a length of viewing .......is suitable to avoid dizziness which some 3d viewers experienced.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Space Junk,watching this documentary video of about 30 minutesa length of viewing is suitable to avoid dizziness which some 3d viewers experienced,FALSE
I really want to think much if not most of the amazing visuals are real.,Positive,Engagement with Film,['Positive' 'Positive' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma,i really want to think much if not most of the amazing visuals are real,FALSE
I can't get enough!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Seeing the Beginning of Time,i cant get enough,FALSE
It had many interesting facts and beautiful visuals.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Engagement with Film' 'Engagement with Film'],5,Birth of Planet Earth,it had many interesting facts and beautiful visuals,FALSE
"Still, the visuals are astonishing. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma,still the visuals are astonishing,FALSE
"This video was SPECTACULAR to watch, with the giant super-computer animations...the scenes just beneath the Sun's surface were especially interesting...scenes from Hell. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic']",5,Solar Superstorms: Journey to the Center of the Sun,this video was spectacular to watch with the giant supercomputer animationsthe scenes just beneath the suns surface were especially interestingscenes from hell,FALSE
One of the shortest hours I've spent.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Solar Superstorms: Journey to the Center of the Sun,one of the shortest hours ive spent,FALSE
Very interesting look at the science behind the storm.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,very interesting look at the science behind the storm,FALSE
It is also pretty short.,Positive,Engagement with Film,['Negative' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Space Junk,it is also pretty short,FALSE
"This is a great documentary, that goes ""inside"" the storm. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,this is a great documentary that goes inside the storm,FALSE
Very nice documented and supported,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,very nice documented and supported,FALSE
good quality video.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Solar Superstorms: Journey to the Center of the Sun,good quality video,FALSE
Very interesting scientific analysis of tornados,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Shift in Knowledge'],5,SuperTornado: Anatomy of a Megadisaster,very interesting scientific analysis of tornados,FALSE
A must see for anyone who loves space as I do.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",5,The Jupiter Enigma,a must see for anyone who loves space as i do,FALSE
I highly recommend this.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma,i highly recommend this,FALSE
"This is a great documentary unless you're a Flat Earther and then... it's a big lie perpetrated by scholars going back to the time of Galileo, all the way up to the millions of scientists, astronomers, astrophysicists, astronauts all over the world, NASA engineers, their entire supply chain, and even Donald Trump who established the US Space Force. ",Positive,Engagement with Film,['Positive' 'Positive' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Birth of Planet Earth,this is a great documentary unless youre a flat earther and then its a big lie perpetrated by scholars going back to the time of galileo all the way up to the millions of scientists astronomers astrophysicists astronauts all over the world nasa engineers their entire supply chain and even donald trump who established the us space force,FALSE
"Just the right amount of technical data and information about where to go for more in-depth data, if you so desire. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,just the right amount of technical data and information about where to go for more indepth data if you so desire,FALSE
"Also, the narration is absolutely fine. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Seeing the Beginning of Time,also the narration is absolutely fine,FALSE
"Decent, in depth. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,decent in depth,FALSE
Perfect Bedtime Documentary.,Positive,Engagement with Film,['Positive' 'Negative' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,perfect bedtime documentary,FALSE
Truly amazing.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Seeing the Beginning of Time,truly amazing,FALSE
Great beautiful graphics.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma,great beautiful graphics,FALSE
I loved the visualizations.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Seeing the Beginning of Time,i loved the visualizations,FALSE
Wonderful movie,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,wonderful movie,FALSE
"The narrator has a soothing, inviting voice. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma,the narrator has a soothing inviting voice,FALSE
"The footage is amazing, it brings Jupiter to life for the first time. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma,the footage is amazing it brings jupiter to life for the first time,FALSE
What an awesome iMac movie!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Space Junk,what an awesome imac movie,FALSE
Very Informative And Interesting,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,very informative and interesting,FALSE
"good presentation and sort of good effects, worth having to build up a collection, i do like it but the other nasa 3D videos are better ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic']",5,Space Junk,good presentation and sort of good effects worth having to build up a collection i do like it but the other nasa 3d videos are better,FALSE
Film well done.!!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,film well done,FALSE
Informitive,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,informitive,FALSE
Like how it has some recent (2010s) info on it instead of being ancient :).,Positive,Engagement with Film,['Positive' 'Positive' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma,like how it has some recent 2010s info on it instead of being ancient,FALSE
Very interesting documentary of the phenomena of a tornado.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic']",5,SuperTornado: Anatomy of a Megadisaster,very interesting documentary of the phenomena of a tornado,FALSE
very  good  documentary in liked  it  very informational,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,SuperTornado: Anatomy of a Megadisaster,very good documentary in liked it very informational,FALSE
I liked the views of ISS.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,Space Junk,i liked the views of iss,FALSE
Would recommend.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],5,The Jupiter Enigma,would recommend,FALSE
"Lots of fact based information touching on chemistry, electromagnetism, orbital mechanics, cosmology, geology and planetary exploration missions from Voyager to Osiris Rex at about a high school science class level. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Interest with Science Topic' 'Engagement with Film'],6,The Jupiter Enigma,lots of fact based information touching on chemistry electromagnetism orbital mechanics cosmology geology and planetary exploration missions from voyager to osiris rex at about a high school science class level,FALSE
Maybe I'll try again since it looked like a good show.,Positive,Engagement with Film,['Positive' 'Neutral' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster,maybe ill try again since it looked like a good show,FALSE
"Let's be honest: even though the narrator has such a calming, soothing, voice that she puts me to sleep, this is a wonderful documentary with simply gorgeous visuals. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time,lets be honest even though the narrator has such a calming soothing voice that she puts me to sleep this is a wonderful documentary with simply gorgeous visuals,FALSE
"Thanks to the scientists, and to Light Return Music and to Amazon. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],6,Seeing the Beginning of Time,thanks to the scientists and to light return music and to amazon,FALSE
It's a good documentary and very very well done!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Birth of Planet Earth,its a good documentary and very very well done,FALSE
Everyone has a story that needs to get out and this documentary does a good job at that.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster,everyone has a story that needs to get out and this documentary does a good job at that,FALSE
"More please! :::I'm editing to clarify, I wouldn't take 100% of what this doc says seriously, simply because they are in error about some things. ",Positive,Engagement with Film,['Positive' 'Positive' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Shift in Knowledge'],6,The Jupiter Enigma,more please im editing to clarify i wouldnt take 100 of what this doc says seriously simply because they are in error about some things,FALSE
"I had to watch it a few times to better comprehend  everything , and didn't mind doing it. ",Positive,Engagement with Film,['Positive' 'Negative' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time,i had to watch it a few times to better comprehend everything and didnt mind doing it,FALSE
This is a relatively short film that addresses a big problem.,Positive,Engagement with Film,['Positive' 'Positive' 'Neutral'],"['Interest with Science Topic' 'Engagement with Film'
 'Engagement with Film']",6,Space Junk,this is a relatively short film that addresses a big problem,FALSE
I watched this incredible video after work today and was awe struck and humbled the entire time.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",6,Seeing the Beginning of Time,i watched this incredible video after work today and was awe struck and humbled the entire time,FALSE
Very informative without sounding like a doomsday show.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun,very informative without sounding like a doomsday show,FALSE
"Very interesting and informative, lots of details about how it formed. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Shift in Knowledge'],6,SuperTornado: Anatomy of a Megadisaster,very interesting and informative lots of details about how it formed,FALSE
Good inside look at what makes a huge tornado and the people it effects.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster,good inside look at what makes a huge tornado and the people it effects,FALSE
The good 3D makes it a good purchase.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Space Junk,the good 3d makes it a good purchase,FALSE
Great one!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster,great one,FALSE
Nice visuals.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun,nice visuals,FALSE
" I could listen to him say, ""it forms a metallic frost...like snowflakes in hell"" over and over again. ",Positive,Engagement with Film,['Positive' 'Positive' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun,i could listen to him say it forms a metallic frostlike snowflakes in hell over and over again,FALSE
Check it out.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Space Junk,check it out,FALSE
"Love space docs, love this one! ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Engagement with Film'
 'Engagement with Film']",6,The Jupiter Enigma,love space docs love this one,FALSE
Lovely sound and good narration with a strong script.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun,lovely sound and good narration with a strong script,FALSE
"For beginners of cosmology, I really recommend NOVA's series. ",Positive,Engagement with Film,['Positive' 'Positive' 'Neutral'],['Interest with Science Topic' 'Engagement with Film' 'Not applicable'],6,Seeing the Beginning of Time,for beginners of cosmology i really recommend novas series,FALSE
and it was a very interesting doco.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Space Junk,and it was a very interesting doco,FALSE
Great documentary with footage,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster,great documentary with footage,FALSE
I had no problem hearing the speaker,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,The Jupiter Enigma,i had no problem hearing the speaker,FALSE
Graphics are gorgeous.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,The Jupiter Enigma,graphics are gorgeous,FALSE
"My favorite part was when they played ""darude - sandstorm"" about 3 minutes in during the marathon footage. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster,my favorite part was when they played darude sandstorm about 3 minutes in during the marathon footage,FALSE
"Video quality was good,  the computer renders were average. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster,video quality was good the computer renders were average,FALSE
good one,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun,good one,FALSE
very good.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Not applicable'],6,Space Junk,very good,FALSE
Very interesting and informative,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun,very interesting and informative,FALSE
Doesn't get any better than this!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time,doesnt get any better than this,FALSE
You can watch over and over.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Space Junk,you can watch over and over,FALSE
"Clear, well paced, British male narration. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,The Jupiter Enigma,clear well paced british male narration,FALSE
"Worth avwatch, especially for free with Prime ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun,worth avwatch especially for free with prime,FALSE
graphics are fabulous.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun,graphics are fabulous,FALSE
Nice CGI.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun,nice cgi,FALSE
Beautiful too.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun,beautiful too,FALSE
" The images are gorgeous, and the scientific information provided is also fascinating and plentiful. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,The Jupiter Enigma,the images are gorgeous and the scientific information provided is also fascinating and plentiful,FALSE
Intriguing images and simulations.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time,intriguing images and simulations,FALSE
Some of the best visualizations and footage you'll find on the subject.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun,some of the best visualizations and footage youll find on the subject,FALSE
Very informative video,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster,very informative video,FALSE
I knew I was in for a treat when they started off with that.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster,i knew i was in for a treat when they started off with that,FALSE
Real photos and real video people have took or made in to a movie.,Positive,Engagement with Film,['Positive' 'Positive' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Impersonal Report'],6,SuperTornado: Anatomy of a Megadisaster,real photos and real video people have took or made in to a movie,FALSE
"Very good detailed analysis of what we know about Jupiter, understandable by the novice and informative for somebody who's tracked this for years. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",6,The Jupiter Enigma,very good detailed analysis of what we know about jupiter understandable by the novice and informative for somebody whos tracked this for years,FALSE
The opening high resolution images of Jupiter will take your breath away.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,The Jupiter Enigma,the opening high resolution images of jupiter will take your breath away,FALSE
Truly amazing imagery.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time,truly amazing imagery,FALSE
Stunning visualizations.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time,stunning visualizations,FALSE
It was an excellent documentary of the events that took place before and after the tornado.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster,it was an excellent documentary of the events that took place before and after the tornado,FALSE
More scientific but interesting.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster,more scientific but interesting,FALSE
" Some of the weather analysis and analogies went over my head, but it's neat to see how they are putting the data to good use. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",6,SuperTornado: Anatomy of a Megadisaster,some of the weather analysis and analogies went over my head but its neat to see how they are putting the data to good use,FALSE
Lots of good info...very interesting!,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",6,SuperTornado: Anatomy of a Megadisaster,lots of good infovery interesting,FALSE
The graphics was great.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time,the graphics was great,FALSE
Enjoyable to watch,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster,enjoyable to watch,FALSE
Phenomenal simulations.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time,phenomenal simulations,FALSE
Recommended.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time,recommended,FALSE
Beautiful storm graphics,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster,beautiful storm graphics,FALSE
No BS.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time,no bs,FALSE
A good summary and some interesting facts are presented in a concise way.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Shift in Knowledge'],6,SuperTornado: Anatomy of a Megadisaster,a good summary and some interesting facts are presented in a concise way,FALSE
Very nice visuals and simulations.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time,very nice visuals and simulations,FALSE
Good old basic documentary.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster,good old basic documentary,FALSE
Very high production values.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time,very high production values,FALSE
This documentary provides a fascinating look at the mighty planet Jupiter.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Interest with Science Topic' 'Impersonal Report'],6,The Jupiter Enigma,this documentary provides a fascinating look at the mighty planet jupiter,FALSE
The graphics are... OUT OF THIS WORLD.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Birth of Planet Earth,the graphics are out of this world,FALSE
Graphics were great.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Space Junk,graphics were great,FALSE
This one is among the few I take the time to recommend to friends and family.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],6,The Jupiter Enigma,this one is among the few i take the time to recommend to friends and family,FALSE
"A great show, very informational. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Seeing the Beginning of Time,a great show very informational,FALSE
Some really great footage.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,SuperTornado: Anatomy of a Megadisaster,some really great footage,FALSE
This was a great video and I will use it with my 7th grade Science classes.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Space Junk,this was a great video and i will use it with my 7th grade science classes,FALSE
You won't be disappointed.,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],6,Solar Superstorms: Journey to the Center of the Sun,you wont be disappointed,FALSE
